,words,1,2,3,dop,l_en,r_en,score,diff_en,raw_words,nomatch
51,还贵,1.6156707e-06,0.0007836003,485.00001139914673,-8.380371,1.3222193,1.2552725,-5.8028793,0.06694679999999997,,
52,很无语,1.6156707e-06,0.0007771376400000001,481.00001308790917,-8.216634,1.3222193,1.6334685,-5.260946,-0.3112492,,
53,不值这个价钱,1.6156707e-06,0.00077552197,480.00001351009996,,,,,,,
54,垃圾手机,1.6156707e-06,0.00076744356,474.99997959412,-8.629687,1.5440681,1.6232493,-5.46237,-0.07918119999999984,,
55,垃圾产品,1.6156707e-06,0.0007658278999999999,473.9999800163106,-8.220066,1.447158,1.4771212,-5.295787,-0.02996320000000008,,
56,以后不会再买,1.6156707e-06,0.0007642122,472.99998043850127,,,,,,,
57,质量有问题,1.6156707e-06,0.0007609809,470.9999812828825,-7.139344,1.7323937,1.5563025,-3.850648,0.17609120000000011,,
58,不负责任,1.6156707e-06,0.0007609809,470.9999812828825,-8.235436,1.6232493,1.8573325,-4.754855,-0.23408320000000016,,
59,揣着激动的心情,1.2501552e-07,5.8164147e-05,465.2554179547208,,,,,,,
60,不符合,1.6156707e-06,0.00075128686,464.99998381602614,-8.718585,2.4329693,1.1760913,-5.1095247,1.256878,不符,
61,没效果,1.6156707e-06,0.00074159284,458.99998634916994,-8.849574,1.447158,1.6127839,-5.7896323,-0.1656259,,
62,很差劲,1.6156707e-06,0.0007399772,457.99998677136057,-8.063379,1.2787536,1.3424227,-5.4422026,-0.06366910000000003,,
63,没什么用,1.6156707e-06,0.00073674583,455.9999876157418,-8.01926,1.6127839,1.8692317,-4.537245,-0.2564478000000001,,
64,真是无语了,1.6156707e-06,0.0007318988000000001,452.9999888823137,-7.6408296,1.6434526,1.50515,-4.492227,0.13830260000000005,,
65,不知道有没有用,1.6156707e-06,0.0007238204700000001,447.9999909932668,,,,,,,
66,不好看,1.6156707e-06,0.0007157421,442.99999310422,-8.485515,1.3424227,1.4771212,-5.665971,-0.13469850000000005,,
67,也不行,1.6156707e-06,0.0006995853999999999,432.9999973261261,-8.511628,1.5797836,1.447158,-5.484687,0.13262560000000012,,
68,太垃圾,1.6156707e-06,0.00069150707,427.99999943707917,-8.880455,1.6627579,1.6334685,-5.5842285,0.02928939999999991,,
69,怀疑是假货,1.6156707e-06,0.0006898914,426.9999998592698,-6.646742,1.2787536,1.1139433,-4.2540445,0.16481029999999985,,
70,超级差,1.6156707e-06,0.0006898914,426.9999998592698,-8.545619,1.3424227,1.5563025,-5.646894,-0.21387979999999995,,
