words,1,2,3,dop,l_en,r_en,score,diff_en,rep_words,dop1,l_en1,r_en1,diff_en1,score1
颜色好,0.00014576809,1.2501552e-07,1165.9999838584731,-8.883344,2.1702616,1.4771212,-5.235961,0.6931403999999999,颜色好看,-8.649362,1.50515,1.5314789,-0.02632889999999999,-5.612733
东西很多,0.00014564308000000002,1.2501552e-07,1164.9999839721456,-8.034323,1.20412,1.968483,-4.8617196,-0.7643629999999999,,,,,,
家店,0.00014551806,1.2501552e-07,1163.9999840858184,-8.793541,1.3617278,2.1846914,-5.247122,-0.8229636000000002,这家店,-8.182675,1.146128,1.3617278,-0.2155997999999999,-5.6748195
点点,0.0001433928,1.2501552e-07,1146.9999860182547,-8.669795,1.0791812,1.7853298,-5.805284,-0.7061485999999999,一点点,-7.508072,0.7781513,0.90309,-0.12493869999999996,-5.8268304
了很好,0.00013951732,1.2501552e-07,1115.9999895421092,-9.124803,2.2648177,1.7323937,-5.127591,0.532424,很好看,-8.62901,1.3802112,1.4313638,-0.05115259999999999,-5.8174353
会再来的,0.00013914226999999998,1.2501552e-07,1112.9999898831277,-7.895408,0.7781513,1.30103,-5.816227,-0.5228786999999999,还会再来,-7.7506876,1.8325089,1.8325089,0.0,-4.0856695
妈妈放心,0.00013689199,1.2501552e-07,1094.9999919292366,-7.247592,0.47712126,1.0791812,-5.6912894,-0.6020599400000001,让妈妈放心,-7.37084,1.0,1.0791812,-0.07918120000000006,-5.291659
情报,0.00013626691,1.2501552e-07,1089.9999924976,-6.5992856,0.0,0.90309,-5.6961956,-0.90309,美食情报,-7.4257216,1.2787536,1.146128,0.1326255999999999,-5.0008397
颜色非常,0.00013339156,1.2501552e-07,1066.9999951120728,-8.169005,0.9542425,1.462398,-5.7523646,-0.5081555000000001,,,,,,
份量很足,0.00013314153,1.2501552e-07,1064.9999953394183,-8.002151,1.3802112,0.845098,-5.776841,0.5351132,,,,,,
不重,0.00012939106000000003,1.2501552e-07,1034.9999987496,-9.513265,2.2455127,1.6334685,-5.634283,0.6120441999999999,不重样,-8.134498,1.1139433,1.3802112,-0.2662678999999999,-5.640343
放心购,0.00012851595,1.2501552e-07,1027.999999545309,-7.582582,0.69897,1.4149734,-5.468639,-0.7160034000000001,,,,,,
会再买,0.00012751583000000002,1.2501552e-07,1020.0000004546907,-7.9419847,1.6334685,2.3324385,-3.9760776,-0.6989699999999999,不会再买,-8.832661,1.6127839,1.447158,0.1656259,-5.772719
快啊,0.00012714078,1.2501552e-07,1017.0000007957092,-8.993728,1.462398,1.9867717,-5.544558,-0.5243736999999999,好快,,,,,
方便又,0.00012689075,1.2501552e-07,1015.0000010230547,-8.113611,2.161368,1.6532125,-4.299031,0.5081555,方便又快捷,-6.4292,1.2552725,1.1760913,0.07918120000000006,-3.9978366
优惠多,0.00012639069,1.2501552e-07,1011.0000014777454,-8.419522,1.94939,0.845098,-5.6250343,1.104292,优惠多多,-8.01737,1.146128,1.4149734,-0.2688454,-5.456269
很纯,0.00012639069,1.2501552e-07,1011.0000014777454,-6.412879,0.30103,1.2787536,-4.833095,-0.9777235999999999,纯很纯,,,,,
很喜欢的一,0.00012626567,1.2501552e-07,1010.000001591418,-8.26314,2.3159704,1.763428,-4.1837416,0.5525423999999999,,,,,,
小吃,0.00012539056,1.2501552e-07,1003.0000023871272,-8.266192,1.7242758,0.845098,-5.696819,0.8791778,小吃街,-8.292923,1.6627579,2.0413928,-0.3786349000000002,-4.5887723
食用方便,0.00012339032,1.2501552e-07,987.0000042058908,-7.965013,1.0791812,1.5797836,-5.3060484,-0.5006024,,,,,,
是好用,0.00012276523999999998,1.2501552e-07,982.0000047742543,-9.126359,1.3802112,1.9867717,-5.759376,-0.6065605000000001,就是好用,-8.837218,1.4149734,1.6127839,-0.1978104999999999,-5.809461
吸水性强,0.00012214016,1.2501552e-07,977.0000053426179,-7.794919,1.6812413,1.146128,-4.96755,0.5351132999999999,,,,,,
便宜好,0.00011851471000000002,1.2501552e-07,948.0000086391271,-8.527466,2.149219,1.146128,-5.2321186,1.003091,便宜好用,-8.413017,1.4313638,1.1760913,0.2552725,-5.805562
真的是很好,0.00011788963499999999,1.2501552e-07,943.0000092074907,-8.191962,2.409933,1.7242758,-4.0577536,0.6856572000000001,,,,,,
的很好用,0.00011763959999999999,1.2501552e-07,941.0000094348363,-8.683237,1.0791812,1.819544,-5.784512,-0.7403628,真的很好用,-7.530254,2.4996872,2.3443923,0.1552948999999999,-2.6861744
样子也,0.000116514464,1.2501552e-07,932.0000104578908,-8.596594,1.1760913,1.9294189,-5.4910836,-0.7533276,样子,,,,,
期待好,0.00011413917,1.2501552e-07,913.0000126176726,-9.337257,2.2648177,1.462398,-5.6100416,0.8024197,期待好运,-8.622203,1.6627579,1.39794,0.26481789999999994,-5.561505
也行,0.000114014154,1.2501552e-07,912.0000127313454,-8.534695,1.7075702,1.0,-5.8271246,0.7075701999999999,,,,,,
补水效果很,0.00011376412,1.2501552e-07,910.0000129586908,-7.2658896,1.7923917,1.230449,-4.2430487,0.5619427000000001,,,,,,
好的效果,0.00011338908000000001,1.2501552e-07,907.0000132997087,-8.355518,1.0791812,1.5797836,-5.6965537,-0.5006024,,,,,,
也很高,0.00011038870399999999,1.2501552e-07,883.0000160278543,-8.54689,1.0791812,1.69897,-5.768739,-0.6197888,颜值也很高,-6.7149897,1.7781513,1.690196,0.08795529999999996,-3.246642
样子很,0.000109013534,1.2501552e-07,872.0000172782544,-8.54507,1.0,1.8692317,-5.675838,-0.8692317,样子,,,,,
不伤皮肤,0.00010863848999999998,1.2501552e-07,869.0000176192725,-8.017738,1.6434526,1.1139433,-5.2603426,0.5295093,,,,,,
好朋友,0.00010651322399999999,1.2501552e-07,852.0000195517089,-8.709501,1.1760913,1.7781513,-5.7552586,-0.60206,,,,,,
保湿效果很,0.00010601316,1.2501552e-07,848.0000200063997,-7.3535523,1.9190781,1.3617278,-4.0727463,0.5573503,,,,,,
感人,0.00010576313,1.2501552e-07,846.0000202337453,-9.653751,2.3180633,1.7993406,-5.5363474,0.5187226999999999,感人肺腑,-6.514342,1.8808136,1.6434526,0.23736099999999993,-2.9900756
好很好,0.000105388084,1.2501552e-07,843.0000205747633,-8.856045,1.6627579,2.2380462,-4.9552407,-0.5752883,,,,,,
