words,1,2,3,dop,l_en,r_en,score,diff_en,rep_words,dop1,l_en1,r_en1,diff_en1,score1
简直不,1.6156707e-06,0.00010178726000000001,63.00000042219062,-8.50981,2.1583624,1.3222193,-5.0292287,0.8361431000000001,简直不要,,,,,
希望没,1.6156707e-06,0.00010178726000000001,63.00000042219062,-9.219958,2.0569048,1.5440681,-5.618985,0.5128366999999998,希望没有,-9.144858,1.9190781,1.7781513,0.1409267999999999,-5.447629
不包,1.6156707e-06,0.00010017159,62.00000084438125,-9.479683,2.3443923,1.69897,-5.436321,0.6454222999999999,不包括,-8.860465,1.9444827,1.9956352,-0.051152499999999934,-4.920347
问下,1.6156707e-06,0.00010017159,62.00000084438125,-8.630991,1.7403626,2.25042,-4.6402082,-0.5100574,想问下,-8.684925,1.4771212,1.8808136,-0.40369239999999995,-5.32699
天使用,1.6156707e-06,0.00010017159,62.00000084438125,-8.819021,1.3802112,2.133539,-5.305271,-0.7533277999999999,每天使用,-8.613048,1.3424227,1.60206,-0.25963730000000007,-5.6685653
什么好,1.6156707e-06,0.00010017159,62.00000084438125,-9.589331,1.6720978,2.1903317,-5.726901,-0.5182339000000002,有什么好,-8.458812,1.5185139,1.5314789,-0.012964999999999893,-5.408819
颗星,1.6156707e-06,0.00010017159,62.00000084438125,-6.517242,0.845098,0.0,-5.672144,0.845098,颗星辰,-8.214162,1.0,1.4149734,-0.41497340000000005,-5.7991886
我下,1.6156707e-06,0.00010017159,62.00000084438125,-9.737651,2.5987904,1.908485,-5.230376,0.6903054,我下次,-8.883368,1.9395193,1.6334685,0.30605079999999996,-5.3103795
平的,1.6156707e-06,9.855591599999999e-05,61.00000126657186,-9.239638,1.4149734,2.1105897,-5.714075,-0.6956162999999997,水平,-6.2850184,0.0,0.47712126,-0.47712126,-5.807897
好容易,1.6156707e-06,9.855591599999999e-05,61.00000126657186,-8.796624,1.5563025,2.064458,-5.1758637,-0.5081555000000002,不好容易,-8.715681,1.6232493,1.7323937,-0.10914440000000014,-5.3600383
按不,1.6156707e-06,9.855591599999999e-05,61.00000126657186,-9.519623,2.149219,1.6434526,-5.726951,0.5057664,按不动,-7.789094,1.5314789,1.39794,0.13353890000000002,-4.859675
现在1,1.6156707e-06,9.855591599999999e-05,61.00000126657186,-9.704302,2.357935,1.7781513,-5.5682154,0.5797836999999999,,,,,,
似得,1.6156707e-06,9.855591599999999e-05,61.00000126657186,-6.864383,1.0413927,0.0,-5.8229904,1.0413927,,,,,,
什么用,1.6156707e-06,9.855591599999999e-05,61.00000126657186,-7.748744,0.60206,1.3617278,-5.7849565,-0.7596677999999999,有什么用,-8.817266,1.6232493,1.60206,0.021189299999999855,-5.5919576
是太小了,1.6156707e-06,9.855591599999999e-05,61.00000126657186,-8.34399,1.146128,1.6532125,-5.5446496,-0.5070844999999999,还是太小,-8.562588,1.6334685,1.20412,0.4293484999999999,-5.724999
问题就是,1.6156707e-06,9.694024600000001e-05,60.000001688762474,-8.381319,1.8260748,2.361728,-4.1935167,-0.5356531999999998,问题就,,,,,
单的,1.6156707e-06,9.694024600000001e-05,60.000001688762474,-9.410419,1.5185139,2.1702616,-5.7216444,-0.6517476999999998,简单,-9.674028,2.0681858,1.7923917,0.27579410000000015,-5.813451
一直等,1.6156707e-06,9.694024600000001e-05,60.000001688762474,-8.724572,2.198657,1.6434526,-4.8824625,0.5552043999999998,一直等着,-8.847224,1.5440681,1.4771212,0.06694690000000003,-5.8260345
SK,1.6156707e-06,9.694024600000001e-05,60.000001688762474,-9.420497,2.2718415,1.3222193,-5.826436,0.9496221999999999,SKII,-8.612358,1.447158,1.3424227,0.10473529999999998,-5.8227777
为什么呢,1.6156707e-06,9.694024600000001e-05,60.000001688762474,-8.319209,1.5440681,1.0,-5.775141,0.5440681,,,,,,
让我不,1.6156707e-06,9.694024600000001e-05,60.000001688762474,-9.1643715,2.5415792,1.9637878,-4.659004,0.5777914000000002,让我不得不,-7.7253246,1.9956352,2.0413928,-0.045757600000000176,-3.6882968
的主,1.6156707e-06,9.694024600000001e-05,60.000001688762474,-9.506757,2.198657,1.5797836,-5.7283163,0.6188733999999998,,,,,,
既然没有,1.6156707e-06,9.532457e-05,58.99999760758649,-7.219569,1.4149734,0.0,-5.804596,1.4149734,,,,,,
看错,1.6156707e-06,9.532457e-05,58.99999760758649,-8.900374,1.50515,2.2718415,-5.123383,-0.7666914999999999,没看错,-8.230091,1.2787536,1.7403626,-0.46160900000000016,-5.2109747
差甚远,1.6156707e-06,9.532457e-05,58.99999760758649,-8.030991,0.47712126,1.770852,-5.783017,-1.29373074,相差甚远,-8.035537,1.8260748,1.763428,0.0626468,-4.4460344
还自,1.6156707e-06,9.37089e-05,57.999998029777096,-9.358336,2.5237465,1.8388491,-4.995741,0.6848974000000001,还自带,-8.232208,2.064458,1.9344984,0.12995960000000006,-4.233252
用着还,1.6156707e-06,9.37089e-05,57.999998029777096,-8.455606,1.6334685,1.1139433,-5.7081947,0.5195251999999999,用着还不错,-7.1463118,1.6720978,1.4313638,0.240734,-4.0428505
用吗,1.6156707e-06,9.37089e-05,57.999998029777096,-9.351337,1.5185139,2.064458,-5.768366,-0.5459441,有用吗,-8.04298,1.0791812,1.146128,-0.06694679999999997,-5.817671
再也,1.6156707e-06,9.37089e-05,57.999998029777096,-8.654864,1.7403626,1.1760913,-5.7384105,0.5642713000000001,再也不,-7.9173326,1.0791812,1.0413927,0.0377885,-5.7967587
其实一,1.6156707e-06,9.37089e-05,57.999998029777096,-9.338062,2.1731863,1.4913617,-5.6735144,0.6818245999999999,其实一直,-8.610933,1.6532125,1.2552725,0.39793999999999996,-5.7024484
幌子,1.6156707e-06,9.209323e-05,56.99999845196773,-8.2308035,1.1760913,2.0530784,-5.0016336,-0.8769871,,,,,,
性价比还,1.6156707e-06,9.209323e-05,56.99999845196773,-8.458826,2.075547,1.30103,-5.0822487,0.7745169999999999,,,,,,
开线,1.6156707e-06,9.209323e-05,56.99999845196773,-6.4464903,1.1139433,0.0,-5.332547,1.1139433,,,,,,
一个都不,1.6156707e-06,9.209323e-05,56.99999845196773,-8.5706005,2.2405493,1.6334685,-4.696583,0.6070808000000001,一个都不少,-7.76956,1.690196,1.5185139,0.17168209999999995,-4.56085
男的,1.6156707e-06,9.209323e-05,56.99999845196773,-8.872868,1.0791812,2.0,-5.7936864,-0.9208187999999999,一男,,,,,
你们真,1.6156707e-06,9.209323e-05,56.99999845196773,-8.73551,2.460898,1.69897,-4.575642,0.7619279999999997,,,,,,
算不错,1.6156707e-06,9.209323e-05,56.99999845196773,-8.08875,1.0,1.9242793,-5.1644707,-0.9242793,还算不错,-7.9389625,1.7242758,1.8573325,-0.13305670000000003,-4.357354
你没,1.6156707e-06,9.209323e-05,56.99999845196773,-9.807489,2.3443923,1.7242758,-5.738821,0.6201165,你没有,-8.382055,1.1760913,1.462398,-0.28630670000000014,-5.743566
我1,1.6156707e-06,9.047755999999999e-05,55.999998874158344,-10.407404,2.7853298,2.143015,-5.479059,0.6423147999999999,我18岁,-8.902501,1.8388491,1.7403626,0.09848649999999992,-5.3232894
